,Time (s),Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Absolute acceleration,gyroscope x,gyroscope y,gyroscope z,Absolute gyroscope,Speed (m/s)
0,0.031277509,-12.29794312,20.32614136,15.89233303,28.58247149,-0.5506081581,-0.09494162351,-0.4472775757,0.7157097774,5.56
1,0.066127457,5.447084427,0.244097203,-4.747045994,7.229436898,-0.2098569423,-0.1503353268,-0.2439453751,0.3551760025,5.566415096132075
2,0.101034696,7.444910049,-4.418612957,-26.12090492,27.51822124,0.5442165732,0.2905506492,0.4515386224,0.7645119265,5.572830192264151
3,0.135929436,-10.29218292,11.43859386,17.06204224,22.97572075,0.6026729345,0.3576622605,0.1800295562,0.7235658918,5.579245288396226
4,0.1707973,-5.209465981,8.992319107,15.36410332,18.54874684,-0.2684464455,-0.07150582224,-0.4174501896,0.5014391663,5.5856603845283015
5,0.205748863,9.189060211,-8.712611198,-11.09254837,16.83428201,-0.2450106442,-0.1673795432,-0.3163833022,0.4337562924,5.592075480660377
6,0.240630894,-1.644474149,-6.401260853,-4.628917694,8.068910382,0.2725743353,0.6133255363,0.164050594,0.6909251617,5.598490576792453
7,0.275506519,-12.55854416,10.54868603,23.55261993,28.70048282,-0.03302317113,0.2022669315,-0.3759049177,0.4281436074,5.604905672924528
8,0.31036105,-2.834461451,6.679477692,14.83219528,16.51192329,-0.6731134653,-0.09707214683,-0.6539387107,0.9434726155,5.611320769056603
9,0.3452873,8.783006668,-11.50909233,-24.57776642,28.52484907,0.3290333152,0.04780370742,-0.1107874215,0.3504596549,5.617735865188679
10,0.380148915,0.05644255877,1.538414478,-3.558824062,3.877516419,0.4312986135,0.2500706315,0.2832269669,0.573385847,5.624150961320755
11,0.415048082,-6.801799774,8.944565773,13.39467239,17.48390647,0.1245026886,0.102132149,-0.1597895473,0.2268580939,5.63056605745283
12,0.449918342,5.019263268,0.6268577576,3.098693371,5.931935182,-0.3494064808,-0.4197138846,-0.4984102249,0.7393628244,5.636981153584905
13,0.484841467,7.036947727,-10.51280975,-17.7819767,21.82284348,-0.1757684946,-0.05446160212,-0.002130527282,0.1840249139,5.6433962497169805
14,0.520031728,-8.042556763,0.9588880539,13.71308422,15.92642033,0.5675191879,0.004127896391,-0.0521979183,0.569929549,5.649811345849057
15,0.554611728,-9.577523232,8.04237175,16.52020454,20.72017984,-0.3930822909,0.05632581562,-0.5538039207,0.6814580453,5.656226441981132
16,0.589452405,3.481105328,-4.333072662,-7.676801682,9.477705263,-0.1342232227,-0.2632532716,-0.3876228034,0.4874111163,5.662641538113207
17,0.624545113,6.559024334,0.847577095,-17.81232834,19.00047968,0.6410223842,0.04247738793,0.0351537019,0.6433893131,5.669056634245282
18,0.659385946,-9.30759716,2.906246662,6.158812523,11.53293572,0.5739107728,-0.08748477697,0.0436758101,0.582181018,5.6754717303773585
19,0.694198915,0.6399753094,5.982437134,2.033211231,6.350832258,-0.5527386665,-0.4133222997,-0.3801659644,0.7879603527,5.681886826509434
20,0.729418134,6.573543072,-12.79854107,-21.17029381,25.59678616,0.2608564198,-0.1183774248,0.29174909,0.4088726182,5.688301922641509
21,0.764059123,-6.035526752,4.473608494,5.918870449,9.56419278,-0.02450106293,-0.152465865,0.1672463864,0.2276345665,5.694717018773585
22,0.799197405,-8.05888176,6.061511993,23.79248047,25.84123894,-0.7242461443,-0.3069290817,-0.2364885211,0.8213797899,5.70113211490566
23,0.833966832,5.984314919,-1.976772785,-21.30501938,22.21763953,0.2949448824,-0.2387522161,0.1310274303,0.4014514813,5.707547211037736
24,0.868596728,3.078251839,-0.9858067036,-15.57468414,15.90654694,0.1916143,0.07763108611,0.5825660825,0.6181633004,5.713962307169811
25,0.903492509,-8.720006943,9.965662003,10.49016571,16.89368275,0.2512690723,0.04034686089,0.3407512009,0.4252944824,5.720377403301887
26,0.938379488,3.6888659,3.45045948,4.984572887,7.09643355,-0.6379597783,-0.266449064,0.1012000442,0.6987340205,5.726792499433962
27,0.973260425,5.658720016,-13.55227661,-16.413908,22.02502417,-0.2077264041,0.1500690132,0.519715488,0.5794610911,5.7332075955660375
28,1.008176415,-11.32696247,2.897078514,11.21136856,16.19839275,0.4749744236,-0.07576687634,0.3567301631,0.5988303031,5.739622691698113
29,1.043053082,-5.978792191,15.47094154,7.819394588,18.3368187,-0.7668566704,-0.1801627129,-0.3471427858,0.8608344032,5.746037787830189
30,1.077926207,7.661011696,-12.9879818,-16.81454468,22.58556362,-0.1555284858,-0.4463454783,0.3577954173,0.5928161237,5.752452883962264
31,1.112823394,1.902420044,-1.326675415,-10.88608837,11.13041732,0.8306393027,0.712395072,0.892424643,1.412051746,5.758867980094339
32,1.147677925,-9.142207146,16.67187119,10.68095398,21.80857671,-0.1001347825,-0.1183774248,0.220376417,0.2694549212,5.765283076226415
33,1.182596207,8.506810188,-1.917008877,6.062091827,10.62024952,-0.7327682376,-0.3186469972,-0.0521979183,0.8007557815,5.771698172358491
34,1.217490686,6.049120426,-14.46814919,-23.27362633,28.06387146,0.2150501013,0.01904158667,0.5772397518,0.616291213,5.778113268490566
35,1.252373342,-7.664898396,7.291411877,11.01918793,15.27540039,0.6836329699,0.7729819417,0.6230461001,1.205421736,5.784528364622641
36,1.287261363,-8.861902237,16.78451157,17.67265892,25.93407051,0.09467530251,-0.05765739456,-0.2663159072,0.2884648167,5.7909434607547166
37,1.322175217,5.002295017,1.021585464,-8.238471985,9.692214037,-0.5177181363,0.3512706757,-0.1725727171,0.6490026956,5.797358556886793
